Unnamed: 0,name,id,type,price,material,description,colors,sizes,details
35,Shetland wool crew-neck sweater,UMB923_16AR_F0012_S_OOO,Knitwear,1470.0,100% virgin wool,The classic elegance of this Shetland wool crew-neck sweater is elevated by subtle details such as the tonal triangle logo.,"Sky Blue,Alabaster Pink",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Ribbed collar|Semi-Raglan shoulder|Ribbed cuffs and hem|Knitted triangle logo
36,Silk polo shirt,UMB925_16AI_F0018_S_OOO,Knitwear,1850.0,100% recycled silk,"Elegant and refined, this silk polo shirt boasts a subtle and classic design. The ribbed hem and the jacquard logo on the front provides a stylish accent.","Navy,Natural",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Polo neck|Semi-Raglan shoulder|Ribbed hem|Jacquard logo|three-button front closure
37,Silk polo shirt,UMB925_16AI_F0008_S_OOO,Knitwear,1850.0,100% recycled silk,"Elegant and refined, this silk polo shirt boasts a subtle and classic design. The ribbed hem and the jacquard logo on the front provides a stylish accent.","Navy,Natural",44/44/46/48/50/52/54/56/58,Plain knit|Regular fit|Polo neck|Semi-Raglan shoulder|Ribbed hem|Jacquard logo|three-button front closure
38,Cashmere crew-neck sweater,UMB931_16A5_F0008_S_OOO,Knitwear,2200.0,100% cashmere,The classic elegance of this cashmere crew-neck sweater is elevated by subtle details such as the tonal triangle logo.,Navy,44/44/46/48/50/52/54/56/58,Plain knit|Boxy fit|Ribbed collar|Semi-Raglan shoulder|Ribbed cuffs and hem|Knitted triangle logo
39,Shetland wool cardigan,UMG374_16AR_F0008_S_OOO,Knitwear,1590.0,100% virgin wool,"This Shetland wool cardigan exudes classic sophistication. The crew-neck and ribbed hems define a clean, modern silhouette.",Navy,44/44/46/48/50/52/54/56/58/60,Plain knit|Regular fit|Ribbed collar|Regular shoulder|Ribbed cuffs and hem|Knitted triangle logo
40,Wool and cashmere cardigan,UMG372_16AO_F0002_S_OOO,Knitwear,6600.0,30% cashmere 70% virgin wool,"This refined cardigan, crafted from wool and cashmere, combines sporty and refined details. The shearling collar adds a soft touch to the sophisticated silhouette, adorned with the knitted triangle logo.",Black,44/44/46/48/50/52/54/56/58/60,Plain knit|Oversize fit|Ribbed collar|Semi-Raglan shoulder|Ribbed cuffs and hem|Knitted triangle logo|Front zipper closure|Welt pockets|Garment with shearling collar and leather elbow patches
41,Cashmere and wool cardigan,UMG375_16AN_F0002_S_OOO,Knitwear,6000.0,30% cashmere 70% virgin wool,"This cardigan blends the soft feel of fine cashmere and wool with innovative techniques and refined details, presenting a modern twist on traditional knitwear.",Black,44/44/46/48/50/52/54/56/58/60,Plain knit|Boxy fit|Hooded collar|Semi-raglan shoulder|Ribbed cuffs and hem|Front zipper fastening|Side pockets
42,Oversized cashmere cardigan,UMG288_134F_F0002_S_OOO,Knitwear,6000.0,100% cashmere,This fine cashmere cardigan with cocooning lines is defined by its ribbed knit pattern that adds dimension to the knitwear. The simple silhouette with mock turtleneck and oversized fit is decorated with the iconic triangle logo on the back. ,Black,46/46/48/50/52/54/56/58/60,Ribbed knit|Oversized fit|Ribbed-knit mock turtleneck|Semi-raglan shoulder|Ribbed knit cuffs and hem|Knit triangle logo|Front zipper closure|Diagonal pockets
43,Wool Sweater,UMM984_C5W_F0002,Knitwear,1470.0,100% virgin wool,"Luxurious materials and sophisticated design are the strengths of this worsted wool crew-neck sweater, featured with rounded collar, long sleeves and rib-knit cuffs and hemline.","Black,Burgundy,Aluminum,Grey,Camel Brown,Aviator Blue",36/36/38/40/42/44/46/48/50/52/54/56/58,"Gauge 30 worsted wool crew-neck sweater|Tubular neckline, ribbed cuffs and hem"
44,Superfine wool crew-neck sweater,UMB266_1ZLE_F0012_S_212,Knitwear,1390.0,100% virgin wool,"This crew-neck sweater, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Sky Blue",44/44/46/48/50/52/54/56/58/60,Plain stitch knit|Regular fit|Ribbed knit crew-neck|Regular shoulder|Ribbed knit cuffs and hem
45,Worsted Wool Crew-Neck Sweater,UMA123_C5W_F0002_S_141,Knitwear,1320.0,100% virgin wool,"Essential style with sophisticated details for this black crewneck sweater. Ribbed details on collar, cuffs and hem with a regular fit.","Black,Blue",36/36/38/40/42/44/46/48/50/52/54/56/58/60,Short sleeves|Tubular crew neck|Ribbed cuffs and hem
46,Worsted Wool Crew-Neck Sweater,UMA123_C5W_F0SVF_S_141,Knitwear,1320.0,100% virgin wool,"Essential style with sophisticated details for this black crewneck sweater. Ribbed details on collar, cuffs and hem with a regular fit.","Black,Blue",36/36/38/40/42/44/46/48/50/52/54/56/58/60,Short sleeves|Tubular crew neck|Ribbed cuffs and hem
47,Cashmere Sweater,UMA282_1HZN_F0002_S_142,Knitwear,1920.0,100% cashmere,"Styled with a simple and minimal design, this crew-neck sweater, crafted from cashmere is designed with rib-knit neckline, hem and cuffs.",Black,36/36/38/40/42/44/46/48/50/52/54/56/58/60,"Fully fashioned armhole and slits on the hem|Classic ribbed neckline, cuffs and hem"
48,Wool and cashmere crew-neck sweater,UMB223_1YMW_F0002_S_211,Knitwear,2350.0,30% cashmere 70% virgin wool,"Re-imagined in always novel ways, the emblematic Prada triangle logo appears as embroidery on this men's crew-neck sweater made of fine cashmere with a regular fit. The Fall Winter 2020 collection presents synchronous yet antonymic points of view on tradition, in a mix of linear and voluminous silhouettes that portrays the identities of the modern man.","Black,Camel Brown",44/44/46/48/50/52/54/56/58,Plain stitch|Regular fit|Ribbed knit crew neck|Regular shoulder|Ribbed knit cuffs and hem
49,Wool and cashmere crew-neck sweater,UMB223_1YMW_F0040_S_211,Knitwear,2350.0,30% cashmere 70% virgin wool,"Re-imagined in always novel ways, the emblematic Prada triangle logo appears as embroidery on this men's crew-neck sweater made of fine cashmere with a regular fit. The Fall Winter 2020 collection presents synchronous yet antonymic points of view on tradition, in a mix of linear and voluminous silhouettes that portrays the identities of the modern man.","Black,Camel Brown",44/44/46/48/50/52/54/56/58,Plain stitch|Regular fit|Ribbed knit crew neck|Regular shoulder|Ribbed knit cuffs and hem|Embroidered logo
50,Superfine wool crew-neck sweater,UMB264_1ZLE_F0002_S_212,Knitwear,1490.0,100% virgin wool,"This crew-neck sweater, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Bottle",44/44/46/48/50/52/54/56/58/60,Plain stitch knit|Regular fit|Ribbed knit crew neck|Regular shoulder|Ribbed knit cuffs and hem
51,Superfine wool crew-neck sweater,UMB264_1ZLE_F0008_S_212,Knitwear,1490.0,100% virgin wool,"This crew-neck sweater, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Bottle",44/44/46/48/50/52/54/56/58/60,Plain stitch knit|Regular fit|Ribbed knit crew neck|Regular shoulder|Ribbed knit cuffs and hem|Embroidered logo
52,Superfine wool crew-neck sweater,UMB266_1ZLE_F0002_S_212,Knitwear,1390.0,100% virgin wool,"This crew-neck sweater, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Sky Blue",44/44/46/48/50/52/54/56/58/60,Plain stitch knit|Regular fit|Ribbed knit crew-neck|Regular shoulder|Ribbed knit cuffs and hem|Embroidered logo
53,Superfine wool crew-neck sweater,UMB266_1ZLE_F0008_S_212,Knitwear,1390.0,100% virgin wool,"This crew-neck sweater, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Sky Blue",44/44/46/48/50/52/54/56/58/60,Plain stitch knit|Regular fit|Ribbed knit crew-neck|Regular shoulder|Ribbed knit cuffs and hem|Embroidered logo
54,Superfine wool polo shirt,UMB267_1ZLE_F0002_S_212,Knitwear,1550.0,100% virgin wool,"This short-sleeved polo shirt, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Aviator Blue",44/44/46/48/50/52/54/56/58,Plain stitch knit|Regular fit|Ribbed knit collar|Regular shoulder|Ribbed knit cuffs and hem|Embroidered logo|Front button closure
55,Superfine wool polo shirt,UMB267_1ZLE_F0008_S_212,Knitwear,1550.0,100% virgin wool,"This short-sleeved polo shirt, embellished with the embroidered logo, is made of superfine wool, a characteristic fabric of Prada's most iconic knitwear. Superfine wool, the most valuable in the world, stands out for its extreme lightness and the exceptional length of its fibers, which make it possible to maintain its original shape over time.","Black,Navy,Aviator Blue",44/44/46/48/50/52/54/56/58,Plain stitch knit|Regular fit|Ribbed knit collar|Regular shoulder|Ribbed knit cuffs and hem|Embroidered logo|Front button closure
56,Wool and cashmere crew-neck sweater,UMB645_13HI_F0009_S_232,Knitwear,2250.0,30% cashmere 70% virgin wool,"Sleek, versatile lines meet fine workmanship in this crew-neck sweater with minimalist allure. Featuring a contemporary boxy fit, the garment is decorated with the purl knit logo.","White,Grey",46/46/48/50/52/54/56/58/60,Plain knit|Boxy fit|Ribbed knit crew neck|Semi-raglan shoulder|Ribbed knit cuffs and hem|Purl knit logo
57,Wool and cashmere crew-neck sweater,UMB682_134H_F0009_S_OOO,Knitwear,2800.0,30% cashmere 70% virgin wool,This sophisticated and comfortable sweater combines soft wool and cashmere yarn with contemporary-inspired oversized lines. The versatile crew-neck style with ribbed knit trim is completed by the tonal Prada logo embroidered on the front. ,White,42/42/44/46/48/50/52/54/56/58/60,Plain knit|Regular fit|Ribbed knit crew neck|Semi-raglan shoulder|Ribbed knit cuffs and hem|Embroidered logo
58,Wool and cashmere crew-neck sweater,UMB645_13HI_F0031_S_232,Knitwear,2250.0,30% cashmere 70% virgin wool,"Sleek, versatile lines meet fine workmanship in this crew-neck sweater with minimalist allure. Featuring a contemporary boxy fit, the garment is decorated with the purl knit logo.","White,Grey",46/46/48/50/52/54/56/58/60,Plain knit|Boxy fit|Ribbed knit crew neck|Semi-raglan shoulder|Ribbed knit cuffs and hem
59,Cashmere cardigan,UMG067_1YB5_F0480_S_212,Knitwear,4800.0,100% cashmere,"This fine cashmere cardigan with a sleek silhouette and contemporary allure is completed by the zipper closure that gives the style a sporty touch. Reinterpreted with a conceptual knit design, the triangle logo enriches the garment with its distinctive signature.",Slate Gray,44/44/46/48/50/52/54/56/58,Plush knit|Regular fit|Ribbed knit neck|Regular shoulder|Ribbed knit cuffs and hem|Triangle logo|Front zipper closure
60,Cashmere cardigan,UMG245_11LM_F0480_S_232,Knitwear,3250.0,100% cashmere,"Sportswear lines meet refined materials and fine workmanship in this cashmere cardigan. This garment, which recalls Prada's hybrid soul, has a slim fit and features the embroidered logo. ",Slate Gray,44/44/46/48/50/52/54/56/58,Plain knit|Slim fit|Ribbed knit neck|Semi-raglan shoulder|Ribbed knit cuffs and hem|Embroidered logo|Front zipper closure
61,Wool and cashmere cardigan with Re-Nylon details,UMG317_14G3_F0002_S_OOO,Knitwear,4700.0,30% cashmere 70% virgin wool,"This ribbed knit wool and cashmere cardigan has a refined, contemporary design enriched with sporty details. The style is characterized by its practical zipper closure, while modern Re-Nylon appliqués underline its versatile and casual charm. The enameled metal triangle logo on the breast pocket completes the garment with its iconic signature touch. This product does not contribute to the SEA BEYOND educational program.",Black,46/46/48/50/52/54/56/58/60,Ribbed knit|Regular fit|Ribbed knit turtleneck|Saddle shoulder|Ribbed knit cuffs|Enameled metal triangle logo|Front zipper closure|Vertical welt pockets
62,Wool cardigan,UMC975_1LR5_F0002_S_162,Knitwear,1520.0,100% virgin wool,Sleek lines define this wool cardigan with distinctive mock turtleneck and metal zipper on the front.,"Black,Anthracite Gray",36/36/38/40/42/44/46/48/50/52/54/56/58/60,"Mock turtleneck|Front zipper closure|Long sleeves|Ribbed collar, cuffs and hem|100% wool"
63,Reversible wool and Re-Nylon jacket,UMC096_1UPF_F0002_S_192,Knitwear,2650.0,100% virgin wool,This wool and nylon jacket with turtleneck and metal triangle logo has a versatile reversible design. This product does not contribute to the SEA BEYOND educational program.,Black,36/36/38/40/42/44/46/48/50/52/54/56/58/60,"Skinny fit|Turtleneck|Front zipper closure|Zipper breast pocket with metal triangle logo|Ribbed knit cuffs and hem|100% virgin wool, 100% polyamide"
64,Wool cardigan,UMC975_1LR5_F0008_S_162,Knitwear,1520.0,100% virgin wool,Sleek lines define this wool cardigan with distinctive mock turtleneck and metal zipper on the front.,"Black,Navy,Anthracite Gray",36/36/38/40/42/44/46/48/50/52/54/56/58/60,"Mock turtleneck|Front zipper closure|Long sleeves|Ribbed collar, cuffs and hem|100% wool"
